"diff_id","del","ins","mod","total","dummy"
"1297",0,0,1,1,"dummy"
"1298",2,4,0,6,"dummy"
"1299",4,6,0,10,"dummy"
"1300",6,7,0,13,"dummy"
"1301",0,2,0,2,"dummy"
"1305",1,1,0,2,"dummy"
"1308",2,1,1,4,"dummy"
"1312",2,1,1,4,"dummy"
"1313",0,5,0,5,"dummy"
"1315",0,1,1,2,"dummy"
"1316",0,0,1,1,"dummy"
"1317",0,5,2,7,"dummy"
"1318",0,0,1,1,"dummy"
"1328",0,0,1,1,"dummy"
"1333",1,0,0,1,"dummy"
"1334",0,0,0,0,"dummy"
"1335",1,0,0,1,"dummy"
"1336",1,0,1,2,"dummy"
"1342",0,2,1,3,"dummy"
"1343",0,0,1,1,"dummy"
"1350",0,3,0,3,"dummy"
"1351",0,1,0,1,"dummy"
"1368",0,4,0,4,"dummy"
"1369",0,0,2,2,"dummy"
"1370",0,10,0,10,"dummy"
"1371",0,1,0,1,"dummy"
"1372",0,0,3,3,"dummy"
"1373",0,1,0,1,"dummy"
"1374",0,0,4,4,"dummy"
"1375",0,1,3,4,"dummy"
"1376",1,2,0,3,"dummy"
"1377",0,1,0,1,"dummy"
"1378",0,7,0,7,"dummy"
"1379",0,0,1,1,"dummy"
"1380",0,0,1,1,"dummy"
"1383",6,15,0,21,"dummy"
"1385",6,2,0,8,"dummy"
"1387",0,6,0,6,"dummy"
"1388",2,9,0,11,"dummy"
"1390",0,1,0,1,"dummy"
"1392",2,3,0,5,"dummy"
"1395",3,13,1,17,"dummy"
"1396",1,0,1,2,"dummy"
"1397",2,22,0,24,"dummy"
"1398",0,4,0,4,"dummy"
"1399",0,1,0,1,"dummy"
"1402",6,5,4,15,"dummy"
"1403",0,0,1,1,"dummy"
"1404",6,0,4,10,"dummy"
"1413",0,0,4,4,"dummy"
"1414",0,1,0,1,"dummy"
"1416",0,6,1,7,"dummy"
"1417",0,1,0,1,"dummy"
"1420",0,1,0,1,"dummy"
"1421",0,0,0,0,"dummy"
"1422",2,2,0,4,"dummy"
"1424",0,1,0,1,"dummy"
"1426",4,3,3,10,"dummy"
"1428",0,1,0,1,"dummy"
"1429",1,3,0,4,"dummy"
"1430",6,5,1,12,"dummy"
"1431",0,1,1,2,"dummy"
"1434",0,1,0,1,"dummy"
"1435",0,3,5,8,"dummy"
"1436",0,0,1,1,"dummy"
"1437",2,0,1,3,"dummy"
"1440",0,1,0,1,"dummy"
"1441",1,1,0,2,"dummy"
"1442",0,0,1,1,"dummy"
"1443",0,0,1,1,"dummy"
"1444",10,17,0,27,"dummy"
"1445",2,1,0,3,"dummy"
"1446",3,6,1,10,"dummy"
"1447",2,2,0,4,"dummy"
"1448",0,2,0,2,"dummy"
"1450",2,4,0,6,"dummy"
"1451",2,0,0,2,"dummy"
"1452",3,0,0,3,"dummy"
"1453",0,1,0,1,"dummy"
"1454",0,2,2,4,"dummy"
"1455",0,9,0,9,"dummy"
"1456",2,0,0,2,"dummy"
"1457",0,2,0,2,"dummy"
"1461",0,2,0,2,"dummy"
"1462",0,0,1,1,"dummy"
"1464",0,0,1,1,"dummy"
"1465",0,2,0,2,"dummy"
"1467",0,0,2,2,"dummy"
"1468",0,0,2,2,"dummy"
"1469",4,12,3,19,"dummy"
"1470",4,4,5,13,"dummy"
"1471",2,2,3,7,"dummy"
"1472",2,2,3,7,"dummy"
"1473",2,2,3,7,"dummy"
"1474",0,3,0,3,"dummy"
"1475",2,2,4,8,"dummy"
"1476",3,3,0,6,"dummy"
"1478",0,0,2,2,"dummy"
"1480",1,4,0,5,"dummy"
"1481",5,7,3,15,"dummy"
"1482",0,1,0,1,"dummy"
"1483",2,3,0,5,"dummy"
"1492",0,3,0,3,"dummy"
"1493",0,2,0,2,"dummy"
"1494",1,0,1,2,"dummy"
"1495",5,0,2,7,"dummy"
"1497",0,1,0,1,"dummy"
"1500",0,0,0,0,"dummy"
"1501",1,0,0,1,"dummy"
"1503",0,0,2,2,"dummy"
"1504",2,0,0,2,"dummy"
"1505",0,1,0,1,"dummy"
"1511",0,1,2,3,"dummy"
"1512",0,0,0,0,"dummy"
"1514",0,0,1,1,"dummy"
"1515",0,0,0,0,"dummy"
"1517",0,0,1,1,"dummy"
"1541",1,0,0,1,"dummy"
"1542",0,1,0,1,"dummy"
"1543",1,0,0,1,"dummy"
"1544",2,1,1,4,"dummy"
"1545",0,5,0,5,"dummy"
"1547",1,0,0,1,"dummy"
"1548",2,2,6,10,"dummy"
"1549",1,0,2,3,"dummy"
"1550",0,1,2,3,"dummy"
"1551",0,1,0,1,"dummy"
"1552",0,0,0,0,"dummy"
"1553",0,0,1,1,"dummy"
"1554",0,0,3,3,"dummy"
"1555",0,0,3,3,"dummy"
"1556",0,0,6,6,"dummy"
